texto,vader_pt,vader_en_label,bertimbau
"#psd #ps #pedronunosantos #luismontenegro 
#chega #andreventura #Corrupção #Portugal
#Política #Democracia 
Portugal Melhor Agora!
A Voz Contra a Corrupção na Política Atual!
Corrupção: Um Obstáculo ao Progresso!
Saiba Mais Aqui E Agora!👇👇👇
👉 https://t.co/hHF5QAD7CZ 👈 https://t.co/WRGpwoQVfZ",Neutro (0.00),positivo (0.66),Negativo (0.00)
AMIGO DO LULA VAI RODAR! #direita #politica #shorts https://t.co/7Z1OSYOIhp via @YouTube,Neutro (0.00),positivo (0.54),Negativo (0.00)
"Projeto de lei do vereador Lucas Vergílio (MDB) que derrubou a taxa do lixo recebeu 20 votos favoráveis e 13 votos contrários

📲 Leia agora em O Popular: https://t.co/HbW8EDbVu0

#LeiaAgora #OPopular #política #PrefeitoSandroMabel #CâmaradeGoiânia #CEI #LimpaGyn",Positivo (0.42),positivo (0.71),Negativo (0.00)
hum... tá explicado. #Lula #FariaLima #Política #Economia https://t.co/8CuYn6aIUd,Neutro (0.00),neutro (0.00),Negativo (0.25)
".@BrunoMNunes desfaz mitos sobre a política do #Chega, reforçando a importância da existência de ""bom senso"" e responsabilidade. Esclarece ainda quanto à candidatura de Tinoco de Faria e reafirma compromisso com CM Loures. Mais em @zugapodcast | #política https://t.co/11s7npQFy9",Neutro (0.00),positivo (0.72),Neutro (0.50)
"EUA FAZ PRONUNCIAMENTO CONTRA MORAES, URGENTE #politica #bolsonaro #lula... https://t.co/Tojk5GXMMA via @YouTube",Neutro (0.00),positivo (0.20),Negativo (0.00)
"No podcast do Diário do Poder, o deputado Chico Vigilante critica Donald Trump e relembra o fato de que ele não nomeou um embaixador no Brasil, prejudicando a relação diplomática entre os países.
#curiosidades #politica #brasil #brasilia #like #live #foryouu https://t.co/3DWCbXLp3G",Negativo (-0.23),neutro (0.03),Neutro (0.50)
"EUA e Europa, Acordo de Energia - 28 Ago 25 -  #Basic #EUA #Europa #Geopolítica #Geral #Política #Tarifas #Trump - https://t.co/ooubyyBoYJ https://t.co/uvzpaUnXbn",Neutro (0.00),positivo (0.27),Negativo (0.00)
"Os membros da realeza não podem votar ou se candidatar em eleições no Reino Unido. ⚖️🚫
#FamíliaReal #Política #Curiosidades https://t.co/92FjXF26U5",Negativo (-0.30),neutro (0.00),Negativo (0.00)
"👀 DIRETO DE BRASÍLIA: Na CPMI do INSS, defensora diz que DPU já denunciava descontos ilegais antes de operação da PF
#política #inss #cpmidoinss

https://t.co/0qNtyeWfgG",Neutro (0.00),negativo (-0.49),Negativo (0.00)
"➡️ Jair Bolsonaro se emociona em reunião com aliado; saiba teor da conversa
#política #bolsonaro #coronelRicardoMelloAraújo

https://t.co/FvoEilRxnK",Neutro (0.00),positivo (0.44),Positivo (0.75)
"Instituto aponta crescimento de 0,39% em um ano

🔔 l Leia a matéria completa em https://t.co/ul7IHa54Qo e siga @iMaranhense em todas as plataformas digitais.

🔎 hashtags:
#imaranhense #noticias #news #saoluis #maranhao #slz #politica #urgente #norde… https://t.co/TwTYI1dEwX https://t.co/KXr18dd2CI",Positivo (0.46),positivo (0.75),Negativo (0.00)
"@CNNEconomia O #Taxxad sempre me lembra aquela música do Zezé di Camargo &amp; Luciano:

♪Meeeeeentes tão beeeeeemmmm....♪

#Taxad 
#haddad 
#Lula 
#foralulaforamoraes 
#ForaPT 
#Economia 
#Politica 
#Brasil  
#Governo 
#imposto 
#taxa https://t.co/3jl1TBDi7l",Neutro (0.00),neutro (0.00),Negativo (0.00)
"GDF e CBF firmam acordo para levar campanha contra o racismo a todo o país https://t.co/tf4y6BOKAI

#opiniaobrasilia #tenentepoliglota #poliglota #tenpoliglota #distritofederal #brasil #gdf #df #noticias #politica #economia #esportes #cidades #saúde #educação #ultimasnoticias #…",Neutro (0.00),negativo (-0.23),Negativo (0.00)
"Apenas Guarulhos e Campinas não são capitais

🔔 l Leia a matéria completa em https://t.co/ul7IHa54Qo e siga @iMaranhense em todas as plataformas digitais.

🔎 hashtags:
#imaranhense #noticias #news #saoluis #maranhao #slz #politica #urgente #nordeste… https://t.co/kno8GI255U https://t.co/uiaosNCOD8",Positivo (0.46),negativo (-0.17),Negativo (0.00)
"RT @psd_parlamento: 🔥✨🏛️🤝 Nós fizemos o que nos competia e ao Governo compete agir com Respeito.

#portugal #politica #parlamento #psd #gpp…",Neutro (-0.03),positivo (0.65),Positivo (1.00)
"🚨 “Estou sendo enterrado vivo” - emocionado, Jair Bolsonaro chorou ao receber a visita do vice-prefeito de São Paulo, coronel Ricardo Mello Araújo (PL). 

Matéria completa no portal https://t.co/LZdz5qqo5Y

#Bolsonaro #Política #Prisão #Brasil #Justiça #ExPresidente #Choro https://t.co/OJtv1XKwDl",Negativo (-0.30),positivo (0.10),Negativo (0.00)
"🚨 Crise política em Parnamirim! Após a cassação de Diego Américo, o presidente da Câmara, Dr. César Maia, também pode perder o mandato.

Matéria completa no portal https://t.co/LZdz5qqo5Y

#Parnamirim #Política #Justiça #Eleições #Câmara #Cassação #Vereador #Fraude #Mandato #RN https://t.co/SJPsdScKIH",Negativo (-0.36),negativo (-0.57),Negativo (0.00)
"👍 Levi Vasconcelos avalia positivamente encontro entre Jerônimo e Bruno Reis
#política #brunoreis #jerônimorodrigues

https://t.co/7DTWWhhiBC",Neutro (0.00),positivo (0.53),Positivo (0.75)
"“Valorização e união”: Festival Folclórico de Luziânia celebra cultura de Goiás e reúne mais de 160 artistas https://t.co/Ol5NPUFTu9

#opiniaobrasilia #tenentepoliglota #poliglota #tenpoliglota #distritofederal #brasil #gdf #df #noticias #politica #economia #esportes #cidades #…",Positivo (0.49),positivo (0.78),Positivo (1.00)
"Comandante recorre a voos comerciais por falta de recursos FAB https://t.co/JTEH56XjzJ

#opiniaobrasilia #tenentepoliglota #poliglota #tenpoliglota #distritofederal #brasil #gdf #df #noticias #politica #economia #esportes #cidades #saúde #educação #ultimasnoticias #cldf #govern…",Positivo (0.58),positivo (0.35),Negativo (0.00)
"Justiça da Itália mantém prisão de Carla Zambelli https://t.co/U8sWZonaml

#opiniaobrasilia #tenentepoliglota #poliglota #tenpoliglota #distritofederal #brasil #gdf #df #noticias #politica #economia #esportes #cidades #saúde #educação #ultimasnoticias #cldf #governo #policia #p…",Neutro (0.00),positivo (0.25),Negativo (0.00)
"🔥✨🏛️🤝 Nós fizemos o que nos competia e ao Governo compete agir com Respeito.

#portugal #politica #parlamento #psd #gppsd #XVIILegislatura #incendios #fogos #PortugalChama https://t.co/jj29stAPbe",Neutro (-0.03),positivo (0.65),Positivo (1.00)
"De esposa a sobrinhos: veja lista de parentes de políticos nomeados em cargos na Prefeitura de Urucurituba

#OPoder #politica #urucurituba #mpam #interior #amazonas 

https://t.co/WE4xc24gFj",Neutro (0.00),neutro (0.00),Neutro (0.50)
"RT @rodaviva: Incentivo ao Brasil sair do BRICS?

No centro do #RodaViva, o governador de Minas Gerais, Romeu Zema, expõe os motivos que o…",Negativo (-0.30),positivo (0.20),Negativo (0.00)
"A Justiça da Itália decidiu manter Carla Zambelli presa, destacando o ""grau máximo"" de risco de fuga enquanto aguarda a extradição ao Brasil. Site : https://t.co/EBaoDH2qJk #Justiça #Zambelli #Extradição #Política #Direito https://t.co/QdrgduqQGJ",Neutro (0.00),positivo (0.46),Negativo (0.00)
"ENTREVISTA EXCLUSIVA| 🚨

Ronaldo Caiado, governador de Goiás, afirma que se Lula vencer, muitos ricos vão deixar o Brasil. ¨Não é o que queremos¨.

#política #governador #Brasil #Lula https://t.co/EoQUBpvMTZ",Neutro (0.00),positivo (0.82),Negativo (0.00)
"📆 Lançamento do Gás do Povo será em 4 de setembro, em Minas Gerais

Anúncio acontece em Belo Horizonte a pedido do ministro Alexandre Silveira

👉 Leia mais: https://t.co/4IMpKHAALs

#Gasnatural #Politica #MME #AntonioAnastasia #BH #GasDoPovo #GovernoLula #LuzDoPovo #TCU https://t.co/w1jiK3OQL8",Neutro (0.00),neutro (0.00),Negativo (0.00)
Não encontram provas contra Bolsonaro.. #politica #bolsonaro #noticias #... https://t.co/SlgNSbkfaH via @YouTube,Neutro (0.00),negativo (-0.30),Negativo (0.00)
"Comandante da FAB usa voos comerciais por falta de aviões militares desde julho. Enquanto isso, políticos batem recordes de viagens na frota oficial. Detalhes no AeroJota 👉 https://t.co/2goOVoWMl1

#FAB #Aviação #Defesa #Política #AeroJota https://t.co/AdORQUXjMU",Positivo (0.74),positivo (0.66),Neutro (0.50)
